side,entry_time,entry,stop,tp,exit_time,exit,result,r
short,2026-01-30 04:30:00,83043.35,83443.48277881059,82243.08444237884,2026-01-30 06:30:00,82243.08444237884,win,2.0
short,2026-01-30 07:30:00,82669.63,83443.48277881059,81121.92444237883,2026-01-30 14:30:00,83443.48277881059,loss,-1.0
short,2026-01-30 15:30:00,82620.27,83443.48277881059,80973.84444237883,2026-01-30 16:30:00,83443.48277881059,loss,-1.0
short,2026-01-30 17:15:00,82755.2,83443.48277881059,81378.63444237881,2026-01-30 18:45:00,83443.48277881059,loss,-1.0
short,2026-01-31 16:30:00,81113.09,83443.48277881059,76452.30444237881,2026-01-31 18:30:00,76452.30444237881,win,2.0
